[package] count=99 itemid=110 itemtype=consume source=init_profile type=get time=2013-04-07_19:12:14.827592 userid=1356
[package] count=1 itemid=1101 itemtype=consume source=init_profile type=get time=2013-04-07_19:12:14.827761 userid=1356
[package] count=1 source=complete_quest itemtype=equipment itemid=20010110 time=2013-04-07_19:13:38.362353
[package] count=1 source=complete_quest itemtype=equipment itemid=20010310 time=2013-04-07_19:15:04.217704
[package] count=1 source=complete_quest itemtype=equipment itemid=20010510 time=2013-04-07_19:16:45.835407
[package] count=1 source=complete_quest itemtype=equipment itemid=20010710 time=2013-04-07_19:18:48.282990
[package] count=1 source=complete_quest itemtype=equipment itemid=20010210 time=2013-04-07_19:20:19.044599
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403201 type=get time=2013-04-07_19:21:09.121732 userid=1265
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403201 type=get time=2013-04-07_19:21:09.122154 userid=1265
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403201 type=get time=2013-04-07_19:21:09.122419 userid=1265
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403201 type=get time=2013-04-07_19:21:09.122634 userid=1265
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403201 type=get time=2013-04-07_19:21:09.122844 userid=1265
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403201 type=get time=2013-04-07_19:21:09.123076 userid=1265
[package] count=1 itemid=30300610 itemtype=equipment source=clean_instance_10403201 type=get time=2013-04-07_19:21:09.131074 userid=1265
[package] count=1 itemid=30300810 itemtype=equipment source=clean_instance_10403201 type=get time=2013-04-07_19:21:09.138384 userid=1265
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403301 type=get time=2013-04-07_19:21:39.520065 userid=1265
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403301 type=get time=2013-04-07_19:21:39.520491 userid=1265
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403301 type=get time=2013-04-07_19:21:39.526973 userid=1265
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403301 type=get time=2013-04-07_19:21:39.531621 userid=1265
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403301 type=get time=2013-04-07_19:21:39.536505 userid=1265
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403301 type=get time=2013-04-07_19:21:39.542973 userid=1265
[package] count=1 itemid=30300710 itemtype=equipment source=clean_instance_10403301 type=get time=2013-04-07_19:21:39.555603 userid=1265
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403401 type=get time=2013-04-07_19:22:20.943802 userid=1265
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403401 type=get time=2013-04-07_19:22:20.948742 userid=1265
[package] count=1 itemid=8002 itemtype=material source=clean_instance_10403401 type=get time=2013-04-07_19:22:20.953811 userid=1265
